Id,Name,Type,Status,StartDate,EndDate,BudgetedCost,ActualCost,ExpectedRevenue,ExpectedResponse,NumberSent,NumberOfResponses,NumberOfLeads,NumberOfConvertedLeads,NumberOfOpportunities,IsActive,Description,OwnerId,CreatedDate,IsDeleted
70101010,Q4 2025 - Lead Gen,Webinar,Completed,2025-01-14,2025-02-28,107943.59,81697.29,930314.51,14.77,13890,1102,661,207,179,False,"Economy country scene American.
Cover possible public level. Despite blue me president father moment foreign.
Perhaps morning yourself stay. Bank evening no Democrat religious record fish.",0050015,2024-12-15 17:21:14,False
70101011,Q1 2024 - Lead Gen,Content Marketing,Completed,2025-08-09,2025-10-21,32449.02,29688.54,231030.33,10.2,30096,844,387,73,47,False,Mrs sing general true rise my glass late. National cell method include. Need believe rich dark live.,0050014,2025-07-10 17:21:14,False
70101012,Q2 2024 - Lead Gen,Webinar,Completed,2024-11-29,2025-02-12,42501.6,47572.46,141202.33,6.81,13591,328,206,49,37,False,Give water recently morning only interesting management find. Read daughter be create clearly list. Apply surface sister while.,0050006,2024-10-30 17:21:14,False
70101013,Q1 2025 - Awareness,Webinar,Completed,2024-06-27,2024-07-21,179143.22,144912.58,1059845.52,3.84,46375,1515,954,335,260,False,"Identify ready room condition girl. Debate wrong first. Investment example many the every democratic.
Special day grow entire describe. Try west different generation.",0050005,2024-05-28 17:21:14,False
70101014,Q3 2025 - Product Launch,Trade Show,Completed,2024-02-13,2024-04-22,59327.55,58644.89,385686.23,12.8,6210,497,253,49,34,False,"Course sing issue. Increase peace kid expert occur never message child. Single trade song yeah.
Any water to street hospital. Scientist short our word bill.",0050015,2024-01-14 17:21:14,False
70101015,Q2 2024 - Lead Gen,Content Marketing,Completed,2024-11-09,2025-01-21,60822.69,49942.05,230964.43,10.44,34231,1553,863,110,80,False,What force animal from marriage phone material. Third six close international hair. Value future carry although. Else name better whether every.,0050007,2024-10-10 17:21:14,False
70101016,Q3 2024 - Product Launch,Email,Completed,2024-09-30,2024-12-23,100461.18,98596.28,926621.07,8.87,18924,714,342,57,44,False,Example grow around challenge serve. Agency pass style artist power choice threat. Without democratic moment man fact floor maybe.,0050018,2024-08-31 17:21:14,False
70101017,Q1 2025 - Lead Gen,Webinar,Completed,2024-03-23,2024-06-03,129524.88,131417.85,1064803.04,3.3,35551,3670,2085,662,571,False,Center movie happen listen difficult. Investment something manage light democratic. Chance body lot.,0050015,2024-02-22 17:21:14,False
70101018,Q3 2025 - Lead Gen,PPC,Completed,2025-02-23,2025-03-14,161704.03,164694.51,1180653.03,11.59,15777,777,530,66,54,False,"Figure this interesting heart process. Art study thought hotel unit. Population Mr like into.
Analysis family probably significant recent class. Serve option or resource story.",0050019,2025-01-24 17:21:14,False
70101019,Q4 2024 - Customer Retention,Social Media,Completed,2023-11-17,2023-11-29,194911.61,173481.95,767475.55,12.86,3691,547,300,115,99,False,"Bring either real oil clear ago.
Imagine factor Mr remain true institution trade attorney. By career can whose. Moment moment anyone until.",0050014,2023-10-18 17:21:14,False
